,source,album,artist,date,review,score
3775,Pitchfork,swirlings,pulse-emitter,"Jan 28, 2020","
                                best pulse emitter’s tracks trade ambient music’s aimless drift deep compositional structure 
                            ",7.3
3776,Mojo,swirlings,pulse-emitter,"Jan 29, 2020","
                                deluxe synth odyssey feb  p
                            ",6.0
3777,Exclaim,swirlings,pulse-emitter,"Jan 28, 2020","
                                swirlings creates easy listening ambience textures assist ethereal outofbody mediations little way innovation though final track provides contrasting tone relaxation pieces
                            ",6.0
3778,AllMusic,scis,oval,"Feb  5, 2020","
                                vibrant full wonder popp scis another imaginative unpredictable world sound
                            ",8.0
3779,Uncut,scis,oval,"Feb  5, 2020","
                                theres always glimpse human popps music organic feel gives sense hand controls mar  p
                            ",7.0
3780,Exclaim,scis,oval,"Feb  5, 2020","
                                scis demonstrates  years recording career markus popp still managing come forwardthinking forwardsounding
                            ",7.0
3781,Pitchfork,scis,oval,"Feb  5, 2020","
                                markus popp isn’t quite yet scis proves he’s still following path
                            ",7.0
3782,Under The Radar,comforts-of-madness-30th-annivesary-remaster,pale-saints,"Mar  2, 2020","
                                fully remastered along  previously unreleased bonus tracks collected original woodhouse studio lp demos bands first john peel sessions respectively comforts madness still stands proud one finest albums ever created timely repackage essential addition anyones record collection
                            ",9.0
3783,Mojo,comforts-of-madness-30th-annivesary-remaster,pale-saints,"Mar  2, 2020","
                                gimlet glare cast notdownwards right eyes mar  p
                            ",8.0
3784,Pitchfork,comforts-of-madness-30th-annivesary-remaster,pale-saints,"Mar  2, 2020","
                                watching listening masters spun many different directions makes album feel even special brilliant vivid snapshot artist band beginning fascinating unpredictable journey
                            ",7.6
3785,PopMatters,comforts-of-madness-30th-annivesary-remaster,pale-saints,"Mar  2, 2020","
                                curio one unsettled times uk music pregrunge post indie interesting academic rock nerds perspective everyone else youre looking album hallmarks musical movement flair leading lights scene warts all
                            ",6.0
3786,Mojo,lina_raul-refree,lina,"Aug 25, 2020","
                                lina bringing tradition raul refree adding experimental soundscapes play sep  p
                            ",8.0
3787,Pitchfork,lina_raul-refree,lina,"Aug 25, 2020","
                                linaraül refree los angeles clone could longlost slightly weatherbeaten cousin intimate heartfelt solemnly inviting it’s also wonderful record right
                            ",7.7
3788,musicOMH.com,lina_raul-refree,lina,"Aug 25, 2020","
                                deeper resonance piano boosted judiciously deployed synth sounds effect slower dreamlike quando eu era pequenina particularly beautiful expansive piano chords haunting synth sounds os meus olhos são dois círios rooted electronics flatter thanks lina’s vocals scarcely less beautiful
                            ",7.0
3789,Q Magazine,lina_raul-refree,lina,"Aug 25, 2020","
                                fado harder sell stronger taste still linas voice irresistible dramatic heft combined smudgy ambient arrangements dark wood bitter coffee refree could fill gap nonbelievers might notknow apr  p
                            ",6.0
3790,The Quietus,seeking-thrills,georgia,"Jan 21, 2020","
                                although seeking thrills many brilliant tracks ‘about work dancefloor’ still georgia’s signature song – neat summation mind set seems thinking working tirelessly songs slip dreams impact packed venue fortunately seeking thrills often good enough take listeners delirious high her
                            ",8.0
3791,musicOMH.com,seeking-thrills,georgia,"Jan 13, 2020","
                                first great album new decade one promises inspire new generation clubbers hedonists joy perfect pop could ever hope hear
                            ",8.0
3792,The Independent (UK),seeking-thrills,georgia,"Jan 10, 2020","
                                georgia splices beat twists synths eerie doomscape yet it’s strangely comforting – reminder night may ended there’s always tomorrow 
                            ",8.0
3793,AllMusic,seeking-thrills,georgia,"Jan 10, 2020","
                                like first georgia album seeking thrills sophisticated emotionally complex pop effort seems encapsulate london natives life experiences date
                            ",8.0
3794,DIY Magazine,seeking-thrills,georgia,"Jan  9, 2020","
                                seeking thrills sees georgia lean much eagerly latenight grooves supporting breakthrough ’started out’ ‘about work dancefloor’ make solid established openers there’s shortage ideas make complete sense soundtrack modern lives
                            ",8.0
3795,PopMatters,seeking-thrills,georgia,"Jan  9, 2020","
                                spectacularly physical restless album one never occupies space long embodiment means come alive dancefloor album enjoy it
                            ",8.0
3796,The Guardian,seeking-thrills,georgia,"Jan  9, 2020","
                                barnes blessed ability take vintage influences absorb thoroughly seeps sounds different source material stamped character
                            ",8.0
3797,Uncut,seeking-thrills,georgia,"Jan  8, 2020","
                                bara clutch mellow moments unclouded ambitions pack dancefloor feb  p
                            ",8.0
3798,The Skinny,seeking-thrills,georgia,"Jan  7, 2020","
                                seeking thrills album delivers initial promise proving upward trajectory georgia currently finds continue
                            ",8.0
3799,Q Magazine,seeking-thrills,georgia,"Jan  7, 2020","
                                seeking thrills artfully constructed yet instantly enjoyable tribute dancefloor deliverance forms feb  p
                            ",8.0
3800,New Musical Express (NME),seeking-thrills,georgia,"Jan  7, 2020","
                                it’s notquite picture perfect ‘seeking thrills’ georgia’s jubilant insightful document life moves disco lights
                            ",8.0
3801,Paste Magazine,seeking-thrills,georgia,"Jan  8, 2020","
                                even georgia sings relationships love romance standard pop music fodder lyrics tend double tributes joy dance
                            ",7.5
3802,Clash Music,seeking-thrills,georgia,"Jan 10, 2020","
                                exudes beauty artist comfortable idea taking risks asset she’d well keep hold exists record feel classic around corner
                            ",7.0
3803,Exclaim,seeking-thrills,georgia,"Jan  8, 2020","
                                song stands unique piece puzzle quality easy lose electropop albums standout tracks continue impress rest add increasingly impressive body work
                            ",7.0
3804,The Line of Best Fit,seeking-thrills,georgia,"Jan  7, 2020","
                                it’s difficult notwish entire album full ingenuity first half theres much potential talent evident first tracks it’s still early days though huge themes inspirations georgia plays seeking thrills showcase true rising star british pop
                            ",7.0
3805,Pitchfork,seeking-thrills,georgia,"Jan 10, 2020","
                                even it’s clumsy seeking thrills never feels manufactured it’s passion project result trial error singular product someone learning write voice
                            ",6.8
3806,The Observer (UK),seeking-thrills,georgia,"Jan 13, 2020","
                                seeking thrills sounds fullfat notfreefrom awash euphoria blowbacks preloved synthpop record proves dynamics good time benefit clear mind
                            ",6.0
3807,Mojo,seeking-thrills,georgia,"Jan  7, 2020","
                                albums second half georgia aims beyond euphoria thrills mellow ray guns hiphop shade honey dripping skys aching power ballad ultimate sailors tangerine dreamstyle banks ambient synths feb  p
                            ",6.0
3808,The Quietus,making-a-new-world,field-music,"Jan 21, 2020","
                                it’s spunout pastoral journey attempts unbox contextualise ‘now’ within history twentieth century britain end first world war yes warned folds reveal careful walking pace you’ll need buy patience get rewarded – real significant – qualities
                            ",8.0
3809,AllMusic,making-a-new-world,field-music,"Jan 21, 2020","
                                like previous releases making new world ambitious original exquisitely crafted work full rich details compelling songs translate past modern new shapes
                            ",8.0
3810,musicOMH.com,making-a-new-world,field-music,"Jan 13, 2020","
                                despite occasional moments divergence experimentation fans pleased hear album still peppered quintessential field music bangers
                            ",8.0
3811,The Skinny,making-a-new-world,field-music,"Jan 10, 2020","
                                everything grooves half album clocks  tracks great makes want see band live rub making new world song cycle aftereffects first world war
                            ",8.0
3812,The Guardian,making-a-new-world,field-music,"Jan 10, 2020","
                                songs segue war considered unusual angles
                            ",8.0
3813,Mojo,making-a-new-world,field-music,"Jan  8, 2020","
                                enigmatic narratives work wellthe themes unearthed ones leisure immersed music thats poignant delightful feb  p
                            ",8.0
3814,Q Magazine,making-a-new-world,field-music,"Jan  8, 2020","
                                making new world resonates hidden meaning lost connections feb  p
                            ",8.0
3815,Uncut,making-a-new-world,field-music,"Jan  8, 2020","
                                rather act like temporary caretakers tiptoeing around wwis vast eternally resonant themes field music sensibly moved made notmemorial much remix history feb  p
                            ",8.0
3816,The Line of Best Fit,making-a-new-world,field-music,"Jan 14, 2020","
                                fans field music absolutely overjoyed set course fans art rock element put unwieldy concept ultimately nothing fear – wwi themes completely ignorable disparately connected reason you’d ever know somebody told advance 
                            ",7.5
3817,Under The Radar,making-a-new-world,field-music,"Feb 12, 2020","
                                central lyrical concept album fall bit flat message album whole comes muddled however talent shown songs undeniable field music commended aiming high even band slightly mark making new world still thoughtfully crafted album unconventional artrock style
                            ",7.0
3818,Slant Magazine,making-a-new-world,field-music,"Jan 10, 2020","
                                ambitious concept album aftermath world war even don’t feel need follow along historical lyrics  short songs entertaining unpredictable listen
                            ",7.0
3819,PopMatters,making-a-new-world,field-music,"Jan  9, 2020","
                                words cramming many short observations roughly twothirds hour disservice potential hand quick pace gives album level intrigue momentum unity wouldnt otherwise case wonderfully appealing daring intellectual accomplishment please anyone looking notably challenging smart poprock
                            ",7.0
3820,Paste Magazine,making-a-new-world,field-music,"Jan  9, 2020","
                                keeping raw emotion war killed estimated  million people equation likely helped field music get job done touch sentiment would gone long way toward taking album beyond research project roots
                            ",6.4
3821,Exclaim,making-a-new-world,field-music,"Jan 13, 2020","
                                stumbles concept record sometimes succeeds artrock record turns important idea notimportant album make 
                            ",6.0
3822,The Observer (UK),making-a-new-world,field-music,"Jan 13, 2020","
                                elastic basslines talking headsindebted man’s world money memory stand making new world works best single piece music notleast interstices fragile stand unaided
                            ",6.0
3823,DIY Magazine,making-a-new-world,field-music,"Jan  9, 2020","
                                aside great moments like warm accessible track ‘beyond courtesy’ listen feel slightly hard grasp due disjointed nature enough ideas tank ultimately notone rush buy 
                            ",6.0
3824,Pitchfork,making-a-new-world,field-music,"Jan 16, 2020","
                                there’s familiar overriding sense couple guys reading something history lot report don’t mind idea new puritans dad ken burns binge you’ll find signs life creativity within making new world’s overall confusion notone could blame moving on
                            ",5.3
3825,New Musical Express (NME),making-a-new-world,field-music,"Jan  8, 2020","
                                unfortunately musical portrayal longlasting echoes wwi ideas far interesting execution
                            ",4.0
3826,DIY Magazine,i-disagree,poppy,"Feb  7, 2020","
                                whether viewed empowered statement newlyfree artist simply great record pop’s new princess darkness ‘i disagree’ fact extremely agreeable indeed
                            ",8.0
3827,The Quietus,i-disagree,poppy,"Jan 22, 2020","
                                result convincing much young artist finding voice ai besting machine 
                            ",8.0
3828,Kerrang!,i-disagree,poppy,"Jan 16, 2020","
                                every comparison make individual moments little honestly say you’ve heard little judged traditional terms that’s makes fascinating force
                            ",8.0
3829,musicOMH.com,i-disagree,poppy,"Jan 14, 2020","
                                disagree surreal genre bending heavy light childish mature once
                            ",8.0
3830,AllMusic,i-disagree,poppy,"Jan  9, 2020","
                                symbolic avatar life changes strong empowerment statement disagree celebrates poppys rebirth popmetal alchemist unabashed rulebreaker
                            ",8.0
3831,New Musical Express (NME),i-disagree,poppy,"Jan  9, 2020","
                                disagree accomplished record full daring theatre snarling forward motion favourite rock bands going pop poppy unapologetically embracing desire go heavy might inspired bands grew listening there’s notmoment ‘i disagree’ feels like throwback
                            ",8.0
3832,Slant Magazine,i-disagree,poppy,"Jan 13, 2020","
                                disagree decidedly “postgenre” tossing poppy’s pop aesthetic shredder heavy metal industrial rock previously hinted tail end ’s girl “concrete” shifts abruptly tempos genres commercial jingles beatlesesque chamberpop shot roaring electric guitar riffs might sound incoherent serves bold deftly executed mission statement
                            ",7.0
3833,Clash Music,i-disagree,poppy,"Jan 10, 2020","
                                album going seriously divide opinions across spectrum trvest metal sugariest pop stans poppy remains daring divisive artist making daring divisive art ‘i disagree’ perfect shot adrenaline kick start new decade with
                            ",7.0
3834,The Line of Best Fit,i-disagree,poppy,"Jan 10, 2020","
                                essentially sugarrush hyperactive pop music people attention span gnat 
                            ",7.0
3835,PopMatters,i-disagree,poppy,"Jan  9, 2020","
                                expanded musicality also challenging genre conventions major shift previous endeavors disagree challenge established fans amassing new appreciation artist
                            ",7.0
3836,Pitchfork,i-disagree,poppy,"Jan 15, 2020","
                                single passage lasts long gives even prettier moments unstable feeling like everything might moment crumble void distortion noise throughout lyrics venomous apocalyptic
                            ",6.5
3837,Q Magazine,i-disagree,poppy,"Jan 14, 2020","
                                respite offered lilting dont go outside reveals beating heart beneath conceptual framework mar  p
                            ",6.0
3838,Sputnikmusic,i-disagree,poppy,"Jan 13, 2020","
                                disagree record you’ll want enjoy notnecessarily analyze it’s perfect romp highway  mph engulfing personal critics flames it’s notgoing spark much conversation intellectually musically caveat latter obvious hype emanate contagiously fun is
                            ",6.0
3839,The Observer (UK),i-disagree,poppy,"Jan 13, 2020","
                                overall enjoyable imaginative times uncanny assault senses
                            ",6.0
3840,The Guardian,i-disagree,poppy,"Jan 10, 2020","
                                course poppy repetitive twitter botlike lyrics remain norm “chewy chewy  yummy yummy yummy” goes one refrain moments musical complexity bracing sincerity previous albums lacked
                            ",6.0
3841,Exclaim,i-disagree,poppy,"Jan  9, 2020","
                                beyond overt gimmickry singles concrete bloodmoney latter sounds like went rooting skrillexs trash disagree often surprisingly unchaotic
                            ",5.0
3842,Clash Music,walking-like-we-do,the-big-moon,"Jan 13, 2020","
                                considering themes love social injustice round perseverance mature engaging big moon constantly breathing new life genre sometimes runs stale eternally grateful
                            ",8.0
3843,The Guardian,walking-like-we-do,the-big-moon,"Jan 10, 2020","
                                jackson empathetic spirited sings fears left behind big moon’s sharp update ensures won’t be
                            ",8.0
3844,musicOMH.com,walking-like-we-do,the-big-moon,"Jan 10, 2020","
                                strong tunes great vocals spring step big moon notstruggling creative spark – far 
                            ",8.0
3845,New Musical Express (NME),walking-like-we-do,the-big-moon,"Jan 10, 2020","
                                they’ve certainly made interesting bolder leaps second record we’re ready jump again
                            ",8.0
3846,The Independent (UK),walking-like-we-do,the-big-moon,"Jan 10, 2020","
                                certain songs work better others “dog eat dog” tries tackle social injustice lacks real bite “don’t think” though swagger defiance vintage blondie impressive much confident big moon sound band
                            ",8.0
3847,Q Magazine,walking-like-we-do,the-big-moon,"Jan  9, 2020","
                                expansive darker much intriguing feb  p
                            ",8.0
3848,DIY Magazine,walking-like-we-do,the-big-moon,"Jan  9, 2020","
                                walking like expansive lyrically thematically sonically touching social inequality frustration current political societal climate
                            ",8.0
3849,The Telegraph (UK),walking-like-we-do,the-big-moon,"Jan  9, 2020","
                                results may bit odd unfashionable one great pleasures walking like simply could notmade anyone big moon
                            ",8.0
3850,Paste Magazine,walking-like-we-do,the-big-moon,"Jan 10, 2020","
                                big moon demonstrate musical lyrical versatility walking like might seem like predictable move guitar band unleash keyboardheavy album number two unlike bands deployed method don’t go far wormhole lose original appeal
                            ",7.8
3851,No Ripcord,walking-like-we-do,the-big-moon,"Feb 18, 2020","
                                heavy theme handle thankfully perhaps chagrin topics go unnoticed submit simple guitarpop pleasures
                            ",7.0
3852,The Line of Best Fit,walking-like-we-do,the-big-moon,"Jan 13, 2020","
                                taken merits walking like unmitigated success timely reminder simplicity youth
                            ",7.0
3853,Pitchfork,walking-like-we-do,the-big-moon,"Jan  9, 2020","
                                walking like moments thoughtless escapism—and couple earnest bum notes—but comes blends humor darkness suffusing everything gentle sarcastic nihilism
                            ",6.8
3854,The Observer (UK),walking-like-we-do,the-big-moon,"Jan 13, 2020","
                                one could ever mistake band sonic outliers even hit distortion pedals walking like sets big moon much bigger mainstream things
                            ",6.0
3855,Variety,rare,selena-gomez,"Jan 10, 2020","
                                it’s hard think dramatic example far gomez come musically nearly five years “rare” one best pop albums released recent memory — artists ranging robyn charli xcx max martin’s adventurous productions — feels like term discredit sophisticated precisely written expertly produced music
                            ",9.3
3856,Entertainment Weekly,rare,selena-gomez,"Jan  9, 2020","
                                varsitysquad production team including various max martinaffiliated swedes ace songwriting duo justin tranter julia michaels bring considerable contributions — though job course make gomez sound like nothing less woman girl interrupted returned rare form
                            ",8.3
3857,musicOMH.com,rare,selena-gomez,"Jan 14, 2020","
                                record delivered kickstart new decade career defining release pop star firmly back top game
                            ",8.0
3858,AllMusic,rare,selena-gomez,"Jan 10, 2020","
                                rare proves strong songs producers get little weird shes enough outside mainstream sound fresh add deeply felt real emotion like verges something special maybe best record yet isnt least interesting one yet thats something fans homogenized pop scene era celebrate
                            ",8.0
3859,Rolling Stone,rare,selena-gomez,"Jan 10, 2020","
                                rare shockingly beautifully upbeat 
                            ",8.0
3860,Los Angeles Times,rare,selena-gomez,"Jan  9, 2020","
                                there’s also infectious spirit adventure album’s arrangements brings gomez’s side
                            ",8.0
3861,Paste Magazine,rare,selena-gomez,"Jan 13, 2020","
                                rare effective glistens 
                            ",7.0
3862,Pitchfork,rare,selena-gomez,"Jan 14, 2020","
                                none  songs attempt subtle weirdness “bad liar” emotional thesis—selflove—can bit onenote rare yearold’s cohesive record date  it’s difficult come away rare real perspective gomez doesn’t want person whoever similarly mysterious shadow 
                            ",6.8
3863,Consequence of Sound,rare,selena-gomez,"Jan 13, 2020","
                                gomez’s return filled great pop music falls short suspect she’s capable sticks similar themes revival instead exploring different sounds  single “back you” ’s “bad liar”
                            ",6.7
3864,Slant Magazine,rare,selena-gomez,"Jan 15, 2020","
                                rare continually teases intriguing forays leftfield pop many album’s experiments come without ever crystallizing memorable hooks
                            ",6.0
3865,New Musical Express (NME),rare,selena-gomez,"Jan 10, 2020","
                                blips aside ‘rare’ beautifully confident return one pop’s underrated stars quietly defiant wrestling back narrative surrounding her
                            ",6.0
3866,The Independent (UK),rare,selena-gomez,"Jan  9, 2020","
                                lot like rare never quite gets beneath shadow half decade behemothic bangers 
                            ",6.0
3867,Q Magazine,the-archer,alexandra-savior,"Jan 10, 2020","
                                crystalline sparse voice shines melancholic dreamy breakup songs dark cinematic tracks feb  p
                            ",8.0
3868,Uncut,the-archer,alexandra-savior,"Jan 10, 2020","
                                savior commanding narrator heartache revenge singing blood tears piano reverbdrenched guitar demonstrating star quality belies  years feb  p
                            ",8.0
3869,Mojo,the-archer,alexandra-savior,"Jan 10, 2020","
                                like hope sandoval saviors smoky timbre cucumbercool rather overemotive feb  p
                            ",8.0
3870,New Musical Express (NME),the-archer,alexandra-savior,"Jan 10, 2020","
                                collection ebbs flows steadily it’s undeniably sleek vintage americanastyle production songs leave listener gagging savior flexes masterful lyrics effortless style poise timeless collection
                            ",8.0
3871,Rolling Stone,the-deadbeat-bang-of-heartbreak-city,beach-slang,"Jan 14, 2020","
                                james alex reups replacements underdog thrash new generation hes point jan  p
                            ",8.0
3872,Under The Radar,the-deadbeat-bang-of-heartbreak-city,beach-slang,"Jan 15, 2020","
                                deadbeat bang heartbreak city rock n roll album brings barroom blues stoic smile reckless attitude retro vibe avoids silliness earnest true alex delivery
                            ",7.5
3873,Chicago Tribune,the-deadbeat-bang-of-heartbreak-city,beach-slang,"Jan 10, 2020","
                                shaggy verve old sacrificed latter half album lacks emotional specificity alex’s best work quieter acoustic tracks augmented understated strings horns echo singer’s work alterego project quiet slang provide welcome textural variety 
                            ",6.3
3874,Kerrang!,the-deadbeat-bang-of-heartbreak-city,beach-slang,"Jan 16, 2020","
                                ever line sincerity mawkishness ear beholder maturity creeping beach slang’s songs eternal punk rock youth bleeding heart right place 
                            ",6.0
3875,Exclaim,the-deadbeat-bang-of-heartbreak-city,beach-slang,"Jan 10, 2020","
                                replacements luminescent played bizarre specific brand rock kids front snot spit sweat trying blatantly recapture magic deadbeat bang heartbreak city cant help feel like lot smoke mirrors
                            ",6.0
3876,Pitchfork,the-deadbeat-bang-of-heartbreak-city,beach-slang,"Jan 10, 2020","
                                deadbeat bang heartbreak city harmless hate it’s hard feel much anything it—which fatal flaw band leverages uncanny ability rid people inhibitions better judgment
                            ",5.2
3877,Punknews.org (Staff),the-deadbeat-bang-of-heartbreak-city,beach-slang,"Jan 31, 2020","
                                quiet slang strippeddown version band dont need acoustics like nobody say nothing nowhere bus pianodriven closer bar one theyre catchy sure mean theyre songs weve heard aint new point please fix commend band attempting cut new road songs like stiff sex appeal cant connect band vocalist comes like  yearold trying hard 
                            ",5.0
3878,AllMusic,the-deadbeat-bang-of-heartbreak-city,beach-slang,"Jan 10, 2020","
                                choruses riffs harmonies sound familiar theyre cribbed straight replacements bestknown songs genuine sweetness naivete made baldfaced theft forgivable earlier albums harder find leaving songs catchy enough ultimately feel like hollow impersonations someone elses work
                            ",5.0
3879,PopMatters,the-deadbeat-bang-of-heartbreak-city,beach-slang,"Jan 16, 2020","
                                aimless collection halfbaked ideas makes  minutes feel interminable
                            ",3.0
3880,Uncut,erratics-unconformities,craven-faults,"Jan 13, 2020","
                                craven faults transcend obvious reference points real craft jan  p
                            ",8.0
3881,The Line of Best Fit,erratics-unconformities,craven-faults,"Jan 13, 2020","
                                deeply hypnotic turns soothing unsettling tracks
                            ",8.0
3882,Mojo,erratics-unconformities,craven-faults,"Jan 13, 2020","
                                takes time luring listeners feb  p
                            ",8.0
3883,musicOMH.com,erratics-unconformities,craven-faults,"Jan 13, 2020","
                                middle album weaker cupola smelt mill’s coda far interesting rest track slack sley  temple’s arrangement bare starts feel like mindnumbing endurance test
                            ",7.0
3884,New Musical Express (NME),the-circus-ep,mick-jenkins,"Jan 15, 2020","
                                huge success second criticallyacclaimed album like ‘pieces man’ small ep steps big boots needs fill mick jenkins’ next outing  delightfully dainty
                            ",8.0
3885,Clash Music,the-circus-ep,mick-jenkins,"Jan 15, 2020","
                                preaching elements different scales ep shows us come jenkins forthcoming album circus prelude old new fans alike special treat
                            ",8.0
3886,Exclaim,the-circus-ep,mick-jenkins,"Jan 15, 2020","
                                picked promising pieces last release putting together distinctive ambitious sound jenkins hero scottheron would certainly proud
                            ",8.0
3887,HipHopDX,the-circus-ep,mick-jenkins,"Jan 15, 2020","
                                circus overall creative win nice precursor next album ep’s lack substance holds back matching previous work lieu bigger idea provides cohesive quick enjoyable flow fest perfect listeners looking relaxed set songs escape craziness everyday life 
                            ",7.8
3888,Pitchfork,the-circus-ep,mick-jenkins,"Jan 16, 2020","
                                circus measured soothing suitable accompaniment brandy cigar comfortable chair
                            ",6.7
3889,Entertainment Weekly,nightfall,little-big-town,"Feb  7, 2020","
                                nightfall finds little big town prime form using harmonizing honesty get high times low moments
                            ",8.3
3890,AllMusic,nightfall,little-big-town,"Feb  7, 2020","
                                music meditative mornings afternoons need dose consolation comfort
                            ",8.0
3891,No Ripcord,nightfall,little-big-town,"Feb  7, 2020","
                                overblown cheese questions overly pretty bluebird songs seem indistinguishable time reverbsoaked bongos show wish nightfall sounded bit uglier
                            ",6.0
3892,Rolling Stone,nightfall,little-big-town,"Feb  7, 2020","
                                sophisticated personal set jan  p
                            ",6.0
3893,Clash Music,jackboys-ep,travis-scott,"Jan  7, 2020","
                                song different wideranging scope something haven’t collective since ‘revenge dreamers iii’ dreamville jcole record label last summer
                            ",7.0
3894,HipHopDX,jackboys-ep,travis-scott,"Jan  7, 2020","
                                despite impressive features banging singles jackboys seems lean project feel like noteworthy introduction scott’s label collective
                            ",6.6
3895,Exclaim,jackboys-ep,travis-scott,"Jan  7, 2020","
                                many loose threads jackboys isnt compilation album one would hope — instead seems rushed put together make yearend release
                            ",6.0
3896,Pitchfork,jackboys-ep,travis-scott,"Jan  7, 2020","
                                it’s toliver sounds like he’s rallying voice less like piece software instrument feeling singsong verse one moments jackboys isn’t product
                            ",5.9
3897,RapReviews.com,jackboys-ep,travis-scott,"Jan  9, 2020","
                                little going lyrically smoke’s energy priceless energy marginally filtered swiftmoving tracks entire album elongated intro cactus jack brand
                            ",5.5
3898,Clash Music,grime-mc,jme,"Feb  5, 2020","
                                it’s testament jme’s influence he’s able pull heavy hitters also talents mic he’s never overshadowed
                            ",8.0
3899,Pitchfork,grime-mc,jme,"Feb  5, 2020","
                                jme made strongest record career chock full nimble intricate raps seamlessly integrate nerdiest signifiers 
                            ",8.0
3900,Q Magazine,grime-mc,jme,"Feb  5, 2020","
                                betters  landmark integrity mar  p
                            ",8.0
3901,The Wire,grime-mc,jme,"Feb  5, 2020","
                                moments illuminate nimble beats perky dayglo synthetic patches fierce resolution purist independent grime anthems “dem man dead” “badman walking through” feb  p
                            ",8.0
3902,New Musical Express (NME),jesus-is-born,sunday-service-choir,"Jan  2, 2020","
                                ‘jesus born’ serves gateway gospel fittingly festive listen time year praise be
                            ",8.0
3903,Pitchfork,jesus-is-born,sunday-service-choir,"Jan  8, 2020","
                                little club found jesus born—it pure gospel album one radical elements album what’s absent kanye’s voice instead he’s assembled massive choir channel christian message joyous allconsuming wave sound
                            ",7.4
3904,PopMatters,jesus-is-born,sunday-service-choir,"Jan 23, 2020","
                                record solid perhaps even better many songs include dramatic breaks shifts tone rhythm theyre effective
                            ",7.0
3905,Exclaim,jesus-is-born,sunday-service-choir,"Jan  6, 2020","
                                regardless level faith denomination track album accessible enough craft sanctified standpoint whether interpolations kanye tracks like fade follow – faith — gospelized riff classic house track alyus — new take ultralight beam life pablo theres lot vibe of
                            ",7.0
3906,Clash Music,jesus-is-born,sunday-service-choir,"Jan  2, 2020","
                                jesus born  standalone album  pretty neat
                            ",7.0
3907,The Guardian,jesus-is-born,sunday-service-choir,"Jan  2, 2020","
                                pretty wellexecuted genre album don’t compare rest mighty oeuvre kanye’s interest gospel music prove temporary likely remembered oddity rather baptism
                            ",6.0
3908,Q Magazine,am-jazz,jim-noir,"Dec 20, 2019","
                                lovely soothing aural balm jan  p
                            ",8.0
3909,Uncut,am-jazz,jim-noir,"Dec 20, 2019","
                                seductive melodies date jan  p
                            ",8.0
3910,Mojo,am-jazz,jim-noir,"Dec 20, 2019","
                                relatively straitlaced hooky earworms good mood hexagons vanishes netherworld hypnotic minimalism amid tol circles warped mantovani exotica titletracks spacedout disco frug jan  p
                            ",8.0
3911,AllMusic,am-jazz,jim-noir,"Dec 20, 2019","
                                takes skills make record smooth soft without ever boring sounding trite noir skills jazz another example abilities songwriter performer maker fine recordings
                            ",8.0
3912,American Songwriter,the-hot-rats-sessions-box-set,frank-zappa,"Feb  5, 2020","
                                zappa obsessives know it’s impossible imagine thorough exhaustive maybe exhausting better word examination artist music created—before advent digital technology– sit back dig enjoy
                            ",10.0
3913,Uncut,the-hot-rats-sessions-box-set,frank-zappa,"Feb  5, 2020","
                                sound zappa seldom notoverthinking guilelessly lost moment exuberant joy playing feb  p
                            ",9.0
3914,Rolling Stone,the-hot-rats-sessions-box-set,frank-zappa,"Feb  5, 2020","
                                box set type treatment usually reserved beatles reissues it’s zappa hot rats sessions delightfully quirky doesn’t contain everything way something like stooges’  box set  complete fun house sessions zappaesque details feels comprehensive better worse
                            ",8.0
3915,The Wire,the-hot-rats-sessions-box-set,frank-zappa,"Feb  5, 2020","
                                hot rats testament power overdub hot rats sessions mostly consists selection instrumental parts presented isolation won’t interest album rambling blues jams least interesting real magic origamilike marvels “peaches en regalia” “son mr green genes” “it must camel”  remarkable outakes
                            ",8.0
3916,The A.V. Club,fine-line,harry-styles,"Dec 17, 2019","
                                fine line proves musician absorbed best lesson passed california’s great musicians don’t afraid take chances within folk poprock framework that’s create iconoclastic music endures
                            ",8.3
3917,Variety,fine-line,harry-styles,"Dec 12, 2019","
                                he’s notnecessarily ready play hero relationship yet he’s certainly coming one good guys he’s defying blockbuster expectations following muse back classic rock era casually claiming own
                            ",8.2
3918,Slant Magazine,fine-line,harry-styles,"Dec 16, 2019","
                                fine line much document yearold deep process figuring notkind musician wants kind person path cookiecutter boyband member bona fide rock star one fraught lot prove personally publically yet it’s one styles seems navigating eagerness learn experience experiment
                            ",8.0
3919,The Guardian,fine-line,harry-styles,"Dec 13, 2019","
                                unlike former one direction bandmates swiftly picked lanes styles taking time coming focus results serve – fans – well
                            ",8.0
3920,Exclaim,fine-line,harry-styles,"Dec 13, 2019","
                                fine line proof harry styles grown artist since solo debut hasnt reached full potential hes certainly well way
                            ",8.0
3921,NOW Magazine,fine-line,harry-styles,"Dec 12, 2019","
                                lyrically styles best he’s biting  he’s notexactly mining unexplored territory he’s internet boyfriend – internet boyfriends nonthreatening inches closer towards adult pop contemporary charts styles thankfully owning onefifth one direction powerpop legacy 
                            ",8.0
3922,The New York Times,fine-line,harry-styles,"Dec 12, 2019","
                                album production tourdeforce plenty moments even lesser songs instruments merge shimmering brilliance voices stack surreal stereo fireworks 
                            ",8.0
3923,Clash Music,fine-line,harry-styles,"Dec 12, 2019","
                                ‘fine line’ plain pop music good pop music that’s interesting listen album harry styles definitely falls latter category
                            ",8.0
